state_name,year,ethanol_beer_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_shots_liquor,number_of_drinks_total,beer_share_signal,spirit_share_signal,total_selected_signal,total_drinks_signal
Alabama,1977,0.97,0.82,1.92,229.9259,170.2514,409.6,0.5052083333333334,0.4270833333333333,1.79,409.6
Alabama,1978,0.95,0.85,1.92,225.1852,176.4801,409.6,0.4947916666666667,0.4427083333333333,1.7999999999999998,409.6
Alabama,1979,0.96,0.82,1.9,227.5556,170.2514,405.3333,0.5052631578947369,0.43157894736842106,1.7799999999999998,405.3333
Alabama,1980,0.95,0.74,1.86,225.1852,153.6415,396.8,0.510752688172043,0.3978494623655914,1.69,396.8
Alabama,1981,1.0,0.73,1.91,237.037,151.5653,407.4667,0.5235602094240838,0.38219895287958117,1.73,407.4667
Alabama,1982,1.0,0.72,1.9,237.037,149.4891,405.3333,0.5263157894736842,0.37894736842105264,1.72,405.3333
Alabama,1983,1.01,0.72,1.9,239.4074,149.4891,405.3333,0.531578947368421,0.37894736842105264,1.73,405.3333
Alabama,1984,1.03,0.69,1.91,244.1481,143.2603,407.4667,0.5392670157068064,0.3612565445026178,1.72,407.4667
Alabama,1985,1.07,0.67,1.92,253.6296,139.1079,409.6,0.5572916666666667,0.34895833333333337,1.7400000000000002,409.6
Alabama,1986,1.1,0.65,1.92,260.7407,134.9554,409.6,0.5729166666666667,0.3385416666666667,1.75,409.6
Alabama,1987,1.11,0.62,1.91,263.1111,128.7267,407.4667,0.5811518324607331,0.32460732984293195,1.73,407.4667
Alabama,1988,1.12,0.62,1.92,265.4815,128.7267,409.6,0.5833333333333334,0.3229166666666667,1.7400000000000002,409.6
Alabama,1989,1.12,0.61,1.9,265.4815,126.6504,405.3333,0.5894736842105264,0.32105263157894737,1.73,405.3333
Alabama,1990,1.12,0.61,1.92,265.4815,126.6504,409.6,0.5833333333333334,0.3177083333333333,1.73,409.6
Alabama,1991,1.0,0.59,1.76,237.037,122.498,375.4667,0.5681818181818182,0.3352272727272727,1.5899999999999999,375.4667
Alabama,1992,1.02,0.59,1.79,241.7778,122.498,381.8667,0.5698324022346368,0.329608938547486,1.6099999999999999,381.8667
Alabama,1993,1.14,0.56,1.86,270.2222,116.2693,396.8,0.6129032258064515,0.3010752688172043,1.7,396.8
Alabama,1994,1.16,0.54,1.87,274.963,112.1168,398.9333,0.6203208556149732,0.2887700534759358,1.7,398.9333
Alabama,1995,1.14,0.53,1.82,270.2222,110.0406,388.2667,0.6263736263736263,0.29120879120879123,1.67,388.2667
Alabama,1996,1.17,0.53,1.88,277.3333,110.0406,401.0667,0.6223404255319149,0.2819148936170213,1.7,401.0667
Alabama,1997,1.14,0.52,1.82,270.2222,107.9643,388.2667,0.6263736263736263,0.2857142857142857,1.66,388.2667
Alabama,1998,1.16,0.51,1.85,274.963,105.8881,394.6667,0.627027027027027,0.2756756756756757,1.67,394.6667
Alabama,1999,1.18,0.51,1.87,279.7037,105.8881,398.9333,0.6310160427807486,0.2727272727272727,1.69,398.9333
Alabama,2000,1.19,0.51,1.88,282.0741,105.8881,401.0667,0.6329787234042553,0.2712765957446809,1.7,401.0667
Alabama,2001,1.16,0.53,1.86,274.963,110.0406,396.8,0.6236559139784945,0.2849462365591398,1.69,396.8
Alabama,2002,1.18,0.54,1.92,279.7037,112.1168,409.6,0.6145833333333334,0.28125000000000006,1.72,409.6
Alabama,2003,1.19,0.52,1.9,282.0741,107.9643,405.3333,0.6263157894736842,0.2736842105263158,1.71,405.3333
Alabama,2004,1.19,0.52,1.91,282.0741,107.9643,407.4667,0.6230366492146597,0.27225130890052357,1.71,407.4667
Alabama,2005,1.18,0.53,1.91,279.7037,110.0406,407.4667,0.6178010471204188,0.2774869109947644,1.71,407.4667
Alabama,2006,1.21,0.54,1.95,286.8148,112.1168,416.0,0.6205128205128205,0.27692307692307694,1.75,416.0
Alabama,2007,1.23,0.55,2.0,291.5556,114.193,426.6667,0.615,0.275,1.78,426.6667
Alabama,2008,1.22,0.57,2.01,289.1852,118.3455,428.8,0.6069651741293532,0.2835820895522388,1.79,428.8
Alabama,2009,1.19,0.57,1.98,282.0741,118.3455,422.4,0.601010101010101,0.28787878787878785,1.7599999999999998,422.4
Alabama,2010,1.17,0.58,1.98,277.3333,120.4217,422.4,0.5909090909090908,0.29292929292929293,1.75,422.4
Alabama,2011,1.16,0.59,1.98,274.963,122.498,422.4,0.5858585858585859,0.29797979797979796,1.75,422.4
Alabama,2012,1.16,0.6,2.0,274.963,124.5742,426.6667,0.58,0.3,1.7599999999999998,426.6667
Alabama,2013,1.14,0.6,1.99,270.2222,124.5742,424.5333,0.5728643216080401,0.3015075376884422,1.7399999999999998,424.5333
Alabama,2014,1.13,0.62,2.0,267.8519,128.7267,426.6667,0.565,0.31,1.75,426.6667
Alabama,2015,1.11,0.64,2.01,263.1111,132.8792,428.8,0.5522388059701494,0.318407960199005,1.75,428.8
Alabama,2016,1.09,0.65,2.01,258.3704,134.9554,428.8,0.5422885572139304,0.32338308457711445,1.7400000000000002,428.8
Alabama,2017,1.07,0.67,1.99,253.6296,139.1079,424.5333,0.5376884422110553,0.33668341708542715,1.7400000000000002,424.5333
Alabama,2018,1.04,0.69,1.99,246.5185,143.2603,424.5333,0.5226130653266332,0.34673366834170855,1.73,424.5333
Alabama,2019,1.02,0.71,1.99,241.7778,147.4128,424.5333,0.5125628140703518,0.35678391959798994,1.73,424.5333
Alabama,2020,1.03,0.77,2.05,244.1481,159.8702,437.3333,0.5024390243902439,0.37560975609756103,1.8,437.3333
Alabama,2021,1.01,0.81,2.08,239.4074,168.1752,443.7333,0.4855769230769231,0.3894230769230769,1.82,443.7333
Alabama,2022,0.96,0.81,2.01,227.5556,168.1752,428.8,0.4776119402985075,0.4029850746268657,1.77,428.8
Alabama,2023,0.9,0.83,1.95,213.3333,172.3277,416.0,0.46153846153846156,0.4256410256410256,1.73,416.0
Alaska,1977,1.19,1.69,3.3,282.0741,350.884,704.0,0.3606060606060606,0.5121212121212121,2.88,704.0
Alaska,1978,1.39,1.67,3.51,329.4815,346.7315,748.8,0.396011396011396,0.4757834757834758,3.0599999999999996,748.8
Alaska,1979,1.48,1.63,3.58,350.8148,338.4266,763.7333,0.4134078212290503,0.45530726256983234,3.11,763.7333
Alaska,1980,1.54,1.68,3.72,365.037,348.8078,793.6,0.4139784946236559,0.4516129032258064,3.2199999999999998,793.6
Alaska,1981,1.68,1.79,4.02,398.2222,371.6464,857.6,0.41791044776119407,0.4452736318407961,3.4699999999999998,857.6
Alaska,1982,1.69,1.68,3.92,400.5926,348.8078,836.2667,0.43112244897959184,0.42857142857142855,3.37,836.2667
Alaska,1983,1.71,1.65,3.95,405.3333,342.5791,842.6667,0.43291139240506327,0.4177215189873417,3.36,842.6667
Alaska,1984,1.67,1.5,3.72,395.8519,311.4355,793.6,0.44892473118279563,0.4032258064516129,3.17,793.6
Alaska,1985,1.63,1.48,3.68,386.3704,307.283,785.0667,0.4429347826086956,0.4021739130434782,3.11,785.0667
Alaska,1986,1.65,1.25,3.45,391.1111,259.5296,736.0,0.47826086956521735,0.36231884057971014,2.9,736.0
Alaska,1987,1.6,1.26,3.38,379.2593,261.6058,721.0667,0.4733727810650888,0.3727810650887574,2.8600000000000003,721.0667
Alaska,1988,1.54,1.19,3.21,365.037,247.0722,684.8,0.4797507788161994,0.3707165109034268,2.73,684.8
Alaska,1989,1.52,1.19,3.15,360.2963,247.0722,672.0,0.48253968253968255,0.37777777777777777,2.71,672.0
Alaska,1990,1.62,1.25,3.33,384.0,259.5296,710.4,0.4864864864864865,0.37537537537537535,2.87,710.4
Alaska,1991,1.54,1.14,3.11,365.037,236.691,663.4667,0.4951768488745981,0.3665594855305466,2.6799999999999997,663.4667
Alaska,1992,1.53,1.08,3.02,362.6667,224.2336,644.2667,0.5066225165562914,0.3576158940397351,2.6100000000000003,644.2667
Alaska,1993,1.31,0.92,2.55,310.5185,191.0138,544.0,0.5137254901960785,0.36078431372549025,2.23,544.0
Alaska,1994,1.53,1.1,3.03,362.6667,228.3861,646.4,0.504950495049505,0.3630363036303631,2.63,646.4
Alaska,1995,1.45,1.02,2.86,343.7037,211.7762,610.1333,0.506993006993007,0.35664335664335667,2.4699999999999998,610.1333
Alaska,1996,1.31,0.94,2.63,310.5185,195.1663,561.0667,0.4980988593155894,0.3574144486692015,2.25,561.0667
Alaska,1997,1.31,0.88,2.56,310.5185,182.7088,546.1333,0.51171875,0.34375,2.19,546.1333
Alaska,1998,1.39,0.95,2.71,329.4815,197.2425,578.1333,0.5129151291512914,0.3505535055350553,2.34,578.1333
Alaska,1999,1.4,0.95,2.74,331.8519,197.2425,584.5333,0.510948905109489,0.34671532846715325,2.3499999999999996,584.5333
Alaska,2000,1.37,0.94,2.68,324.7407,195.1663,571.7333,0.5111940298507462,0.3507462686567164,2.31,571.7333
Alaska,2001,1.32,0.96,2.67,312.8889,199.3187,569.6,0.49438202247191015,0.3595505617977528,2.2800000000000002,569.6
Alaska,2002,1.35,1.19,2.99,320.0,247.0722,637.8667,0.451505016722408,0.39799331103678925,2.54,637.8667
Alaska,2003,1.27,0.79,2.43,301.037,164.0227,518.4,0.522633744855967,0.32510288065843623,2.06,518.4
Alaska,2004,1.31,0.95,2.71,310.5185,197.2425,578.1333,0.4833948339483395,0.3505535055350553,2.26,578.1333
Alaska,2005,1.23,0.98,2.64,291.5556,203.4712,563.2,0.4659090909090909,0.3712121212121212,2.21,563.2
Alaska,2006,1.25,1.03,2.75,296.2963,213.8524,586.6667,0.45454545454545453,0.37454545454545457,2.2800000000000002,586.6667
Alaska,2007,1.13,0.96,2.53,267.8519,199.3187,539.7333,0.44664031620553357,0.37944664031620556,2.09,539.7333
Alaska,2008,1.2,1.09,2.78,284.4444,226.3098,593.0667,0.43165467625899284,0.39208633093525186,2.29,593.0667
Alaska,2009,1.32,1.16,3.02,312.8889,240.8435,644.2667,0.4370860927152318,0.3841059602649006,2.48,644.2667
Alaska,2010,1.23,1.25,3.03,291.5556,259.5296,646.4,0.40594059405940597,0.4125412541254126,2.48,646.4
Alaska,2011,1.15,1.17,2.86,272.5926,242.9197,610.1333,0.4020979020979021,0.40909090909090906,2.32,610.1333
